action,ticker,quantity,price,state,date,type,time_in_force,category,opening_strategy,closing_strategy,total,account
credit,PFE,20.0,0.39,paid,2021-09-07 00:00:00,,,dividends,,,7.800000000000001,ROBINHOOD
credit,ET,25.0,0.1525,paid,2021-08-19 00:00:00,,,dividends,,,3.8125,ROBINHOOD
credit,NEP,5.0,0.6625,paid,2021-08-13 00:00:00,,,dividends,,,3.3125,ROBINHOOD
debit,ORCL,1.0,89.95,filled,2021-08-04 19:38:53.686000+00:00,market,gfd,stock,,,89.95,ROBINHOOD
credit,QQQ,3.0,0.39679,paid,2021-07-30 00:00:00,,,dividends,,,1.19037,ROBINHOOD
credit,GE,23.0,0.01,paid,2021-07-26 00:00:00,,,dividends,,,0.23,ROBINHOOD
debit,QQQ,1.0,11.0,filled,2021-07-12 18:56:19.704121+00:00,limit,gfd,options,long_call,,11.0,ROBINHOOD
debit,FSLR,2.0,95.245,filled,2021-07-12 15:26:05.992000+00:00,market,gfd,stock,,,190.49,ROBINHOOD
debit,ET,25.0,10.4456,filled,2021-07-12 15:25:46.008000+00:00,market,gfd,stock,,,261.14000000000004,ROBINHOOD
debit,SPCE,7.0,43.13,filled,2021-07-12 15:25:11.868000+00:00,market,gfd,stock,,,301.91,ROBINHOOD
debit,TLRY,15.0,16.1187,filled,2021-07-12 15:24:33.522000+00:00,market,gfd,stock,,,241.78050000000002,ROBINHOOD
credit,UFO,20.0,0.118043,paid,2021-06-29 00:00:00,,,dividends,,,2.3608599999999997,ROBINHOOD
credit,SPYG,6.0,0.105633,paid,2021-06-24 00:00:00,,,dividends,,,0.6337980000000001,ROBINHOOD
debit,TASK,2.0,31.6,filled,2021-06-14 14:28:00.614000+00:00,market,gfd,stock,,,63.2,ROBINHOOD
debit,GLBE,8.5,47.9635,filled,2021-06-14 13:47:36.965499+00:00,market,gfd,stock,,,407.68975,ROBINHOOD
credit,ZG,4.0,116.71,filled,2021-06-14 13:47:14.150000+00:00,market,gfd,stock,,,466.84,ROBINHOOD
debit,GLBE,1.5,47.66,filled,2021-06-14 13:43:28.607555+00:00,market,gfd,stock,,,71.49,ROBINHOOD
debit,ZG,8.0,116.48,filled,2021-06-14 13:42:58.915000+00:00,market,gfd,stock,,,931.84,ROBINHOOD
credit,MSFT,10.0,0.56,paid,2021-06-10 00:00:00,,,dividends,,,5.6000000000000005,ROBINHOOD
debit,GE,20.0,13.75,filled,2021-06-09 18:52:47.687000+00:00,limit,gfd,stock,,,275.0,ROBINHOOD
credit,AMC,1.0,240.0,filled,2021-06-09 17:38:10.250050+00:00,limit,gfd,options,,long_put,240.0,ROBINHOOD
debit,BUD,1.0,77.65,filled,2021-06-07 13:30:00.825000+00:00,market,gfd,stock,,,77.65,ROBINHOOD
credit,PFE,20.0,0.39,paid,2021-06-04 00:00:00,,,dividends,,,7.800000000000001,ROBINHOOD
debit,UFO,15.0,30.3,filled,2021-06-02 18:20:24.387000+00:00,market,gfd,stock,,,454.5,ROBINHOOD
